trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.8, 'e': 0.4399999999999995}",25,0,-107.57071852779424,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.4299999999999995}",30,11,-84.23408187540029,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 1}",1
58,False,"{'a': 0.8, 'e': 0.4199999999999995}",20,0,-49.051671027513784,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
59,False,"{'a': 0.8, 'e': 0.4099999999999995}",20,5,-52.277020630953274,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
60,False,"{'a': 0.8, 'e': 0.39999999999999947}",30,20,-25.742264166522304,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.8, 'e': 0.38999999999999946}",20,10,7.277642712885854,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.37999999999999945}",20,0,-20.727997246470785,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.36999999999999944}",25,0,-3.38732415785588,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.8, 'e': 0.35999999999999943}",20,13,9.463502148418439,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.3499999999999994}",25,12,13.005981437290433,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.3399999999999994}",20,0,-55.20237948759015,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
67,False,"{'a': 0.8, 'e': 0.3299999999999994}",25,0,-52.488504119560474,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
68,False,"{'a': 0.8, 'e': 0.3199999999999994}",25,8,-4.732141302773026,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
